Customer ID,Feedback Channel,Rating,Comment,Date
C98452,Survey,2,The customer service was rude,2024-10-10
C38190,Survey,2,Not happy with the product quality,2024-10-22
C75221,Email,5,Amazing experience,2024-10-13
C34567,Survey,1,"Excellent support, will recommend",2024-10-19
C99938,Social Media,5,The customer service was rude,2024-10-17
C65510,Social Media,3,Not sure if I would buy again,2024-10-26
C12802,Email,5,"Great quality, but took too long to arrive",2024-10-20
C30300,Email,4,The customer service was rude,2024-10-30
C73947,Email,5,Not sure if I would buy again,2024-10-24
C95469,Email,3,The customer service was rude,2024-11-03
C45107,Survey,1,"Great service, very satisfied!",2024-10-08
C76086,Email,3,The customer service was rude,2024-11-02
C34750,Survey,2,Not happy with the product quality,2024-10-29
C55826,Survey,2,The customer service was rude,2024-10-14
C29232,Social Media,5,The customer service was rude,2024-11-01
C51183,Social Media,1,Pricey but worth it,2024-10-24
C84785,Email,3,Delivery was delayed,2024-10-15
C89615,Social Media,3,Pricey but worth it,2024-10-13
C18614,Social Media,2,Could use more variety,2024-10-21
C41358,Survey,1,Not sure if I would buy again,2024-10-14
C82405,Survey,1,"Excellent support, will recommend",2024-10-11
C48211,Social Media,1,"Excellent support, will recommend",2024-10-21
C19565,Social Media,2,"Great quality, but took too long to arrive",2024-10-07
C28134,Survey,2,"Excellent support, will recommend",2024-10-19
C36773,Email,1,"Great quality, but took too long to arrive",2024-10-12
C96747,Email,1,Could use more variety,2024-10-14
C24856,Email,4,Amazing experience,2024-10-20
C27933,Email,3,Could use more variety,2024-11-01
C73574,Survey,2,Amazing experience,2024-11-02
C27359,Survey,1,"Excellent support, will recommend",2024-10-22
C47728,Email,4,Not sure if I would buy again,2024-10-10
C67276,Survey,4,The customer service was rude,2024-10-08
C42179,Social Media,2,Pricey but worth it,2024-11-03
C16986,Social Media,2,The customer service was rude,2024-10-29
C83004,Survey,4,Pricey but worth it,2024-10-20
C64110,Social Media,2,Amazing experience,2024-10-11
C51813,Email,4,"Great quality, but took too long to arrive",2024-11-04
C22076,Survey,1,Delivery was delayed,2024-10-09
C57696,Social Media,3,Pricey but worth it,2024-10-18
C19889,Social Media,1,Pricey but worth it,2024-10-31
C31648,Email,5,Amazing experience,2024-11-05
C28101,Survey,5,Amazing experience,2024-10-12
C47952,Social Media,1,Not sure if I would buy again,2024-10-21
C60034,Social Media,4,Not happy with the product quality,2024-10-17
C31020,Survey,4,The customer service was rude,2024-10-25
C90420,Email,5,Amazing experience,2024-10-15
C69337,Social Media,3,The customer service was rude,2024-10-08
C26909,Social Media,2,Delivery was delayed,2024-10-30
C67765,Survey,4,Not sure if I would buy again,2024-10-31
C73726,Email,5,Not happy with the product quality,2024-10-06
C30279,Survey,2,Pricey but worth it,2024-10-12
C20920,Email,5,Could use more variety,2024-10-11
C40947,Survey,4,Not sure if I would buy again,2024-10-20
C26608,Social Media,5,The customer service was rude,2024-10-18
C82421,Email,2,Delivery was delayed,2024-10-22
C63373,Social Media,1,Pricey but worth it,2024-10-15
C93536,Survey,2,Amazing experience,2024-11-01
C62421,Survey,1,Could use more variety,2024-10-14
C41904,Email,2,The customer service was rude,2024-10-17
C30322,Email,4,Delivery was delayed,2024-10-29
C46236,Email,5,"Great quality, but took too long to arrive",2024-10-15
C34439,Survey,2,"Great quality, but took too long to arrive",2024-10-30
C55359,Email,4,Delivery was delayed,2024-10-30
C62006,Survey,4,Amazing experience,2024-10-12
C40210,Survey,4,Not sure if I would buy again,2024-11-02
C37665,Social Media,1,Amazing experience,2024-10-10
C11827,Email,2,The customer service was rude,2024-10-29
C17197,Survey,3,"Great quality, but took too long to arrive",2024-10-17
C62224,Email,1,Not happy with the product quality,2024-10-15
C94781,Social Media,5,Amazing experience,2024-10-22
C92388,Social Media,4,Pricey but worth it,2024-10-15
C30157,Email,1,"Excellent support, will recommend",2024-10-29
C59742,Social Media,2,Not happy with the product quality,2024-10-06
C98764,Social Media,1,"Excellent support, will recommend",2024-10-12
C75393,Survey,5,The customer service was rude,2024-10-06
